Date,TCS,Reliance,HDFC,SBI
2015-11-18,1013.830810546875,436.671021,506.823273,221.89238
2015-11-19,1018.6161499023438,447.563873,516.634888,224.562454
2015-11-20,1034.0516357421875,453.357422,517.577454,223.687759
2015-11-23,1030.9044189453125,456.661224,515.257507,223.457596
2015-11-24,1020.9447021484376,463.340515,514.435852,222.260651
2015-11-26,1011.2869262695312,473.371552,514.242432,223.273453
2015-11-27,1014.6500244140624,468.774963,521.710083,229.902588
2015-11-30,1023.3592529296876,463.053223,520.912476,228.935837
2015-12-01,1018.336181640625,462.478699,523.449951,230.362946
2015-12-02,1019.7590942382812,468.248291,520.936584,225.20694
2015-12-03,1013.5289306640624,467.88916,520.429138,221.984436
2015-12-04,1003.8925170898438,462.263214,511.801605,221.984436
2015-12-07,1000.1845092773438,455.847229,513.275818,219.728683
2015-12-08,1004.1513061523438,450.508545,507.137482,217.242767
2015-12-09,1020.815185546875,438.538361,506.267456,215.815643
2015-12-10,1028.1021728515625,455.033234,512.62323,213.559891
2015-12-11,1028.7269287109375,456.278137,505.735779,209.27858
2015-12-14,1025.471435546875,457.307526,509.940796,208.035614
2015-12-15,1024.3511962890625,467.266724,512.067505,208.449921
2015-12-16,1038.3843994140625,468.583435,515.861633,209.27858
2015-12-17,1051.9012451171875,483.450378,522.12085,212.593155
2015-12-18,1042.00634765625,474.927643,518.616699,208.541992
2015-12-21,1054.768798828125,475.023376,519.776733,212.178818
2015-12-22,1036.94091796875,472.725128,515.450745,210.245346
2015-12-23,1045.886962890625,480.625427,519.148315,211.442245
2015-12-24,1049.530029296875,479.069305,519.099976,210.199295
2015-12-28,1061.79638671875,483.785553,520.670837,210.751694
2015-12-29,1058.8214111328125,486.179596,521.009094,210.107208
2015-12-30,1042.6533203125,480.960602,519.244995,207.897507
2015-12-31,1050.6512451171875,485.796509,523.039185,206.654526
2016-01-01,1041.8341064453125,486.15564,526.229126,209.738937
2016-01-04,1021.6561279296876,476.555573,517.408325,203.201859
2016-01-05,1012.752685546875,481.27179,513.493286,200.485748
2016-01-06,1026.830078125,494.223511,515.764954,199.65712
2016-01-07,1022.3677368164062,485.150116,510.496674,192.935852
2016-01-08,1033.7286376953125,491.135223,513.469177,192.383438
2016-01-11,1018.5302124023438,503.512329,511.656586,188.102112
2016-01-12,1003.3106689453124,500.567719,506.025757,183.590591
2016-01-13,982.6798706054688,515.602234,512.405823,184.97168
2016-01-14,982.5073852539062,508.324341,507.379089,180.506226
2016-01-15,974.8763427734376,513.902466,503.705872,169.687805
2016-01-18,982.0116577148438,486.87381,495.827454,166.649475
2016-01-19,982.7232666015624,499.681915,500.636688,168.444839
2016-01-20,983.0679931640624,480.984528,492.178314,159.882187
2016-01-21,974.381103515625,471.240845,494.449982,161.677597
2016-01-22,992.2088012695312,480.79303,497.978363,169.964035
2016-01-25,996.0554809570312,480.697266,503.222504,168.444839
2016-01-27,1002.5819091796876,478.494751,500.564117,169.779892
2016-01-28,1007.5303955078124,486.897797,498.654968,170.5625
2016-01-29,1033.50537109375,495.755707,507.42749,165.636673
2016-02-01,1038.43212890625,493.313812,512.212463,159.053543
2016-02-02,1036.4442138671875,479.356567,509.336639,155.969162
2016-02-03,1044.3101806640625,469.900208,504.527496,152.884766
2016-02-04,1045.9306640625,465.902161,507.113281,149.938477
2016-02-05,1046.7515869140625,464.872711,510.037506,154.864319
2016-02-08,1021.2523193359376,460.156433,500.660767,158.501114
2016-02-09,986.0071411132812,458.456726,495.924194,153.805466
2016-02-10,980.5611572265624,460.922607,489.592468,146.393738
2016-02-11,949.9406127929688,442.680023,471.394989,142.020325
2016-02-12,962.3226928710938,434.061554,469.51001,142.526718
2016-02-15,980.7127075195312,453.309509,470.573303,154.542053
2016-02-16,979.1566772460938,445.552887,470.500824,143.999863
2016-02-17,983.4786376953124,456.110535,471.20166,146.347672
2016-02-18,1000.8961181640624,450.125458,478.234161,147.130295
2016-02-19,1002.5383911132812,452.160431,478.161652,151.6418
2016-02-22,1000.9176025390624,460.755005,477.895844,151.871979
2016-02-23,978.4869384765624,454.69812,468.857513,145.933365
2016-02-24,955.55908203125,456.134521,458.973328,143.907776
2016-02-25,956.3800048828124,452.04071,455.614166,139.764572
2016-02-26,955.364501953125,455.033234,464.483307,143.53949
2016-02-29,940.799560546875,462.837799,469.727448,146.163544
2016-03-01,983.9540405273438,469.852295,475.672546,149.20192
2016-03-02,1002.1926879882812,479.52417,486.813324,166.787567
2016-03-03,1025.66064453125,484.958618,490.99411,168.260696
2016-03-04,1018.9185791015624,481.870361,493.265808,173.462753
2016-03-08,1017.5140991210938,491.733734,490.172485,168.813141
2016-03-09,1018.788818359375,498.772247,495.320007,168.859161
2016-03-10,1014.921142578125,484.431915,493.604126,166.189102
